id,title,difficulty,tags,link
132,Strings Rotations of Each Other,Easy,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/check-if-strings-are-rotations-of-each-other-or-not-1587115620/1
133,Remove duplicates from an unsorted linked list,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/remove-duplicates-from-an-unsorted-linked-list/1
134,Minimum distance in an Array,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/minimum-distance-between-two-numbers/1
135,String Rotated by 2 Places,Easy,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/check-if-string-is-rotated-by-two-places-1587115620/1
136,Count Linked List Nodes,Basic,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/count-nodes-of-linked-list/1
137,Check if array is sorted,Easy,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/check-if-an-array-is-sorted0701/1
138,Minimum Cost of ropes,Easy,"Queue, Heap, Data Structures",https://www.geeksforgeeks.org/problems/minimum-cost-of-ropes-1587115620/1
139,Stickler Thief,Medium,"Arrays, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/stickler-theif-1587115621/1
140,Find the number of islands,Medium,"DFS, Graph, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/find-the-number-of-islands/1
141,Edit Distance,Hard,"Strings, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/edit-distance3702/1
142,Value equal to index value,Basic,"Arrays, Searching, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/value-equal-to-index-value1330/1
143,Find length of Loop,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/find-length-of-loop/1
144,Pythagorean Triplet,Medium,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/pythagorean-triplet3018/1
145,Merge Sort,Medium,"Divide and Conquer, Sorting, Algorithms",https://www.geeksforgeeks.org/problems/merge-sort/1
146,"Sort a linked list of 0s, 1s and 2s",Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1
147,Multiply two strings,Medium,"Strings, Mathematical, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/multiply-two-strings/1
148,Coin Change (Minimum Coins),Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/number-of-coins1824/1
149,Intersection of Arrays with Distinct,Easy,"two-pointer-algorithm, Arrays, Hash, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/intersection-of-two-arrays2404/1
150,Level Order in spiral form,Easy,"Recursion, Stack, Tree, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/level-order-traversal-in-spiral-form/1
151,K-th Bit is Set or Not,Easy,"Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1
